PlayerId;PositionId
1;6
15036;13
2;1
1005;2
12023;8
25069;3
1008;3
1009;4
1010;4
1011;5
1011;6
1011;7
1011;8
1012;10
9028;1
1013;5
1013;6
1016;9
1016;12
1016;13
1017;13
16039;13
1020;9
1021;6
1021;2
2020;2
2021;1
2022;5
2022;6
21051;6
10023;9
11024;13
16053;6
16041;14
13023;9
14023;4
15023;2
15024;9
15025;2
15029;8
21066;10
15037;3
15031;7
15031;9
15033;2
15034;12
15034;13
15026;1
16048;9
15040;1
15041;1
16038;5
16049;8
16051;9
2;1
16040;1
1006;1
21062;1
22066;7
16042;5
16042;10
16043;9
16050;4
19040;4
16045;9
16046;5
16046;8
16046;10
16047;2
16052;6
17040;3
19041;7
19042;6
19044;1
18040;12
19045;10
19046;2
19047;2
19048;1
19049;6
19050;3
20040;9
20041;4
21040;9
21041;2
21042;13
21043;6
21045;13
21044;12
21046;1
21047;4
21048;6
21049;2
21050;2
23066;1
21052;1
21053;2
24066;9
25066;1
15030;12
25067;12
25068;1
15032;10
15032;13
16044;2
15035;5
15035;6
21054;1
21055;12
21056;6
21057;12
21058;2
21059;13
21060;9
21061;10
21063;10
21064;9
21065;2
1007;2
